comment,sentiment
那天我去喂他们水喝的时候，发现不见了。清扫阿姨说他们不知道哪天，被警察带走了[泪][心]希望他们平安,0
[衰]俄航好烦,0
收衣服的时候才发现昨天晚上忘记关纱窗了???难怪那么多蚊子！[泪],0
弹性真好！,0
哈哈哈~~~SUPERB是什么样的B啊~~~,1
我手机突然间毫无信号，都不是上不去网的问题，连电话都打不出去！以为自己的手机中毒了呢，一来公司发现只要的是联通的号都没有信号！破联通你怎么了？！不过也意识到这年头没有手机是一件多么恐慌的事情~~~[抓狂],0
终于到赤峰了。这车座的真特么的累[晕][晕],0
应该考虑考虑！,0
一大早神清气爽爬起来规划工作，就看到这个苦逼帖。看看表，呕血三升，默默爬回被窝。回个笼吧[泪],0
想念你/却无法/相见[悲伤],0
开始倒时差，可是这个点我真心不困啊！[抓狂][抓狂][抓狂],0
[晕][吃惊][汗][汗][汗],0
下次你就说：我想看看天安门，顺便吹吹风～,0
好像红糖不能豆浆一起吧一把是多少啊[衰][委屈],0
请问南京站的福利在哪里！！！！！快点帮我和他们说[泪],0
结束了连续20天的工作，为什么今天还是要这么早起[抓狂]嗓子啊你可真识相，知道今天不用说话了，就肿起来了[衰]好吧…还是开心的，知足长乐[呵呵],0
【#我爱满堂彩#――开心一刻】金角大王将宝葫芦倒置，喊了一声：孙行者。悟空应了一声，嗖地便被吸了进去。金角大王查看时，里面除了孙悟空，还有行者武松、苍径空、孙权、六耳猕猴、金刚等一干人。金角大王惊讶道：只喊孙行者，怎的来了这许多。这时宝葫芦开口言道：这都是你“可能感兴趣的人”[衰],0
?菜?盾,0
感觉俩礼拜不见了[泪]好开心我在#香草香草云南原生态火锅(大理店)#http://t.cn/zj5c8lu,0
宰客成为合理，当然是“零”投诉,0
累的极致就是睡不着[泪][泪],0
遗憾，老师一路走好。,0
[晕][晕],0
稍微辣的味道吧。晚上会有活力[馋嘴]现在用五毛钱不知道能吃什么[泪]爱你的咖啡豆13,0
女生，应该把条码印在背后。,0
回复:是酒店自己做滴，我想买几瓶不出售，退房时收到送我的，顿时[泪][泪],0
中:册那妈只逼，日:八哥丫路。中:只港乱，日:八哥丫路。中:勿要面孔只瘪三，日:八哥丫路。中:只宗生骂宁啊勿会骂，日:八哥丫路。中:滚滚滚，死远点，勿跟弄逼样吵了。。。。。。日:[汗],0
终于被曝光了。,0
今天杭州的太阳好毒哦，快被晒死了！！[抓狂]突然好想去海边，我今天这身打扮是不是很有海滩风呀？哈哈哈,0
香橙双皮奶，这份摆盘没摆完~[晕],0
[泪][泪][泪]击中我了,0
关键看奖咋样，真要弄个500-1000的奖金啥的，一天你就都学会了,0
求表说[泪],0
[抓狂],0
这要是吃了，人是不是通体会发蓝光？,0
打车真的是错误决定！坐公交早就到了[大哭][发怒][抓狂]以后绝对坚持绿色出行…我在:http://t.cn/8kyk5ju,0
小时候五分钱的麻酱雪糕特好吃！再也买不到了[失望],0
白折腾一圈图什么啊？,0
【不现实】大面积叫停收费公路并不现实，正省部级以下一律取消公车并不现实，从根子上打击腐败并不现实，全面放开言论并不现实，大规模减税并不现实，要求官员公开财产并不现实，大面积食品无害化并不现实???总之，有一个世界，叫不现实；而另一个世界，很现实[怒],0
[哈哈],1
那您就下来看,0
胳膊伸不直了[泪],0
坑爹啊，?睡眠？[泪],0
这个曲目也太华丽了吧,0
[衰][衰][衰],0
快要立秋了吗？[疑问]焦虑中[怒],0
原来如此。。。[晕],0
[困]一到下午就犯困怎么整。。小摇又给大家带段子来了！[偷笑]有个上海女生叫Emma，被派到东北去工作。上班第三天就精神崩溃。。。她说她觉得到处都有人在叫她。。。。。。。[衰],0
[怒][怒]南昌的亲注意啦！！[话筒],0
最近头疼的原因是屡攻不破，陪上我的午饭晚饭。[抓狂],0
回复:这都神马事啊[怒],0
真情永恒！[泪],0
今天凌晨的事情到现在想想还是很郁闷[抓狂]现在唯一能做的就是在周末的夜晚，不想做任何解释，把这个人无聊的人所做的无聊事当做一个屁放了，为这样的人不值得！[神马][浮云]最后送他一张“鸽吻”的图片，希望他今晚无聊的时候能看见！,0
今天全程??西安事??直播的拍了很多??可供警方存?的照片，但他的微博?在竟然打不?了，大家可以直接搜?"神乐是萝莉"，有很多爆?[怒]http://t.cn/zlhtJNC,0
昨晚风雨大作，天气预报也跟着变了，北京哎呀变三亚啦[抓狂][抓狂][沙尘暴]#美图秀秀iPhone版#,0
"周末就是运动日，和哦家劳工去健身房跑步。我的体育长项就是长跑[酷]，我的同学们都知道滴~但是近些年耐力渐减。我在跑步机上摒着坚持就是胜利的原则，一教练走过来问：ok?ok?虽是满面春风，但看的出一些担心。我气喘吁吁，嘴巴呼吸都不够用，还要挤出一个bigsmile，回答：ja,ja,isgoed![抓狂]",0
重水渗透...[吃惊]我特么洗个头再洗出个核弹脑袋来[抓狂]再仔细一看，咳！8重水润渗透力[汗]@??兔拉拉,0
[哈哈][哈哈][哈哈]神评！[赞],1
我热4-1干掉凯子！[怒],0
#敢吃逗你玩#路灯君你怎么了？“太热了，我躺会！”今儿这天气真心伤不起啊[衰]~「转」,0
[浮云][浮云][雪][?]一口呼吸的空气，连浮云都不如，懂的懂的！！哈哈哈！[抓狂][圣诞袜][织],1
话说，若不是穷疯了，谁他妈为了省几块钱拿自己骨肉健康冒险去试国货？宁肯死在洋鬼子手里，也不让国货品牌手上沾上自己同胞的鲜血！,0
我早就知道一准儿有人会抓狂的[汗]终于疯掉一个了[抓狂]（虽然南北不分，但高丽棒子和北韩愣子在美国孩子眼里都是一样的。）,0
晚餐签到帖[花心]今晚吃咖喱，我大爱的咖喱蟹，我想念你的笑，想念你销魂的味道[抓狂][鼓掌][太开心]各位，你喜欢咖喱不？,0
#北京美食地图#在顺道品尝到了?港茶餐厅的甜品。菠萝包，蛋挞还有榴莲酥都很不错。主要都不是特别甜的那种，口感还特别不错。价格也不是特别贵，真希望公司门口也有类似的餐厅[泪]小伙伴们有机会去尝尝吧！地址:侨福芳草地B2层。（投稿）,0
回复:想什么美事儿呐？您这么干欠债方房子就得先走拍卖程序，公拍！[右哼哼]再好好琢磨琢磨还有什么招儿吧[抓狂],0
上海天怎么这么好啊，顶着，姐明儿就回，拖着箱子直奔那开会，押着[偷笑]，如有迟到小会，大伙见谅，使劲赶了，刚吃完饭，正看着我的小肚子发呆，哪有抽脂减肚子的[泪],0
[泪]总有一天他会长大,0
[抓狂][抓狂]老兄昨天咱们还聊呢没有想到如此之严重,0
感冒感的头发昏。。。刚刚醒鼻子结果头昏脑胀差点昏倒在地上。。。[晕],0
好想看这部啊。。。。,0
最右[汗],0
这才是真相阿！,0
我听到最后有女粉丝的叫声啦！兼顾偶像与实力让人家怎么活！[抓狂][抓狂],0
最大的问题是竟然用的是冷冻蟹钳，吃起来一大股冷冻海鲜的味道，蟹肉外面已经干裂，完全没肉汁，而且总共只有12支！12支真多啊，不过最长的也只有5厘米啊！除了蟹钳其他什么都没有啦！这尼玛完全坑爹啊！有木有！这可是你家的招牌啊！[怒][怒][怒],0
[泪]妃儿肯定不会被选中,0
不是清凉，是悲凉[泪],0
真是不好意思，我馋牛排了[怒],0
什么情况啊？[衰],0
#肿嬷嬷#各项指标正常但是每天清晨的肿胀越来越厉害了。现在无论睡左边还是右边都肿左手，而且起床后手指不能弯曲的时间变长了。我可是靠码字挣奶粉钱的啊[泪]今天更是从头肿到脚，爬起来控控。。。好在给我留了一只发微博的右手。。。,0
回复:已经打过投诉电话了，竟然说如果空车见乘客招手，车子没停，就不算是拒载！[怒],0
我真的不要再做路痴，在迷路就不出门，服了，彻底被自己打败[怒][怒][怒],0
上镜的服装严重失策…[泪],0
这位亲，你确定没有少打一个“壳”字嘛？[泪],0
#读老舍#终于快到周末了[泪]多么美好的两个字啊！不知道有没有在为年会节目等苦恼的观众？分享一篇《科学救命》，安慰一下。[嘻嘻],0
我尼玛有钱就把国安买下来[怒],0
-[抓狂],0
?束台??光局美食??活?，一?美食也?吃到，大??，都很好吃[泪]算了?炎同?跟小威?我杭州回?胖很多，我???肥！,0
我去，这风啊，车停着却晃悠的厉害[泪][泪][泪]真恐怖，能不出门就别出门了,0
北京地铁确实很方便，我刚刚推荐给几个明天要去长城玩的年轻女孩儿。,0
?-妞儿，上地址,0
[泪],0
你要不要那么快，还怕得那么好[泪],0
苹果一直都是我的至爱啊其它的可有可无[衰],0
回复:没有啊！而且举办音乐会的时候有可能需要做工作[泪],0
还有就是原来想买一张都匀去打羊的车票留念，谁知道这车竟然不上网销售，在窗口买也是出的这种褪色很快的票，怨念啊[悲伤],0
萌！,1
醉在那里了又好想去[泪][泪][泪],0
呃~@！~身为大红色美少女战士队成员的含泪飘过~[泪],0
淀山湖重灾区[衰],0
回复:欢迎欢迎啊！感谢来支持金小帅[太开心]#签到有礼#积分0.5,0
我对不起毛爷爷！我挂了！[泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪],0
撞“婚”。。。你遇到过么？！[衰],0
抵制到底！[怒][怒][怒],0
我想#猫小D#了[泪][泪][泪][泪]！下次不能留给你了,0
善良的孩子[爱你][爱你][爱你],0
塔尔寺回来，已经累成马了，三个手机全部没电……[衰]#西宁市区#http://t.cn/zOn5PoU,0
太美了[抓狂],0
【雀巢雪糕常温下24小时未融化】一则新闻让很多人对雪糕不放心了，一根雪糕在常温下放置24小时后化成了一堆胶状物，引食品安全质疑。坑爹，冰箱生产制造商开始冒汗了。[怒][晕],0
含泪转发,0
瞎琢磨,0
想给自己取个洋名，苦于迟迟无果。[泪]万能的微博啊，求！,0
好多虫子啊。[晕]。[偷笑]你也试试？,0
突然很想哭。。。[泪],0
唉...,0
没时间买皮带,0
太可怕了[衰],0
天青色等烟雨而肉在等你炊烟袅袅升起?????????????????锅汤都完哩[抓狂],0
能遇到什么大好事呢，好期待啊[太开心],0
王浩太悲催了[失望][失望][失望],0
双鱼的孩纸桑不起啊[晕],0
红包红包，一醒就是各种红包，点开都是祝福也就算了，老妈家里来电说你表哥家的娃要结婚了，送来一包糖里面还放了580。结果一打听，我要去喝酒就得回送5800对方还全收。[抓狂][抓狂]老家什么习俗嘛！！！[委屈]年底还不止一个,0
[泪]最讨厌别人秀收到的美食了！！！！！,0
我们的北青，我们的青春。[泪]看来北青食堂永远都是亮点啊[哈哈],1
#海南旅游资讯#【污染物南下袭海南雾霾攻陷海口】笼罩中国广大区域的雾霾天气10日影响海口市，整个城市空气质量明显下降，污染指数上升。海口被雾霾笼罩，白茫茫一片似灰白色绸带，在海甸岛高层建筑上已看不清主城区，在路上也不时可见有戴口罩的市民。还我大美海口！！！[泪]http://t.cn/8kxnCre,0
跟大家说个伤心事儿，下次放假要等到9月30号，也就是说接下来三个月就只能靠周末了。。。[衰][委屈][委屈],0
似乎(只是似乎)大多数第三方做打折都不清楚商户为什么打折，为什么让顾客成为会员。只是别人做我也做。就连之前和位业内资深前辈讨论定价的时候，也发现微观经济学的根基在很多电商人心里是比较空白的。好了，扯远了。图中阐述了二维码真正存在的意义。别再tx说它是什么它就是什么了[抓狂],0
厚德载雾，自强不吸[抓狂],0
#减肥中的孩纸桑不起之二#我被香味吸引着在小吃摊中徘徊，我不断的告诫自己马非夜草不肥、今晚你已经吃的很多了、爸妈从小就告诫你街边摊不卫生…可最终还是败给了干锅土豆[泪]-_-b,0
勒种人直接废了[怒],0
总是被世界遗忘在角落里，给点关注和掌声吧[泪],0
还是想留短发[泪],0
国家机密!!!!!!!泄露国家机密后果很严重!!![抓狂],0
培哥我在上班好哇[泪],0
一石二鸟阿！[怒],0
高频率的音频穿透力太强我心子把把都揪紧了肯定是背台词,0
任务是一个接着一个啊！哎，春节前有的忙了！[怒][怒],0
?他哥，以后《政风行风热线》在电视重播的时候麻烦加上大大的{重播}两个字，要知道你们现在安排的重播时间可是我下午节目直播时间我也要接听电话也要开通2231555的，所以，这一点请迅速调整，今天严重影响我节目质量！！！[抓狂],0
系统升级到ios7，备忘录丢失[泪]苹果啊，iphone啊，你怎么想的[顶]害人不浅。,0
细思恐极[衰],0
空气质量太差了，喘气都费劲[衰],0
回复:感谢大家的小蜡烛，安全吃完，成功撤退！[嘻嘻][嘻嘻],0
[伤心],0
这是从昨晚到现在唯一看笑的一条微薄[偷笑],0
太受打击了[泪]不就2星期没操作么[泪]竟然封我号[泪]竟然锁定我[泪]让不让人工作了[泪]忒瞧不起我了[泪]切！哼！嘁！嚯！哈！嚯！哈！好像哪里不对了……,0
浑身酸软无力，烧啊烧啊烧[晕][晕][晕][晕][晕][晕][汗][汗][汗][晕][晕][晕][晕][晕][晕],0
其?我真的很想?句：每次有?些新??出，有人??算有人?好?，大佬呀我住在??都唔?心你?4日3夜真的?心什?呢？?不是??、屠?或文革呵？,0
[怒]你们就是这样对待你们的衣食父母的吗？就是这样对待信任你们的客户的吗？,0
估计打人者又是临时工所为！[怒],0
大雷滚过，招财耷拉着尾巴直奔俺怀，皮皮和芒果挤在俺身边，俺在心里默念：二姐，你快回来你快回来…我们胆小承受不来…[晕]只有“喵坚强”羊羊小姐不知哪儿蹿着玩…[奥特曼]仨货跟俺进厨房取水心里甚是安慰，患难见真情，下一秒悲剧ing[害羞]原来它们没早饭了才找我[泪]真现实,0
变态！！！变态！！！他妈的我的裙子！！！尼玛一辈子被男人搞基搞死你全家！！！！[怒][怒][怒][怒][怒][怒][怒][怒][怒][怒][怒][怒][怒],0
还有更可怕的是长长的打车队伍。。。以后再也不坐这么晚的航班和香港快运了！[抓狂],0
不要脸非常到位！,0
南京大排档外卖超级难吃[抓狂][鄙视][鄙视]今天没有糖育苗，只有赤豆元宵。[黑线][弱][吐][吐][吐],0
让人看了纠结啊[吃惊],0
我被电话吵醒。。。而且心情很不好[抓狂][抓狂][抓狂],0
拉肚子拉得要死了不能喝酒了[伤心],0
[蜡烛][蜡烛][蜡烛],0
赶过来说看「西游记」，结果只有第一排座位嘞[泪]，只能改天了。[挖鼻屎],0
妹子们还是找个读计算机或者信息安全的男朋友吧…,0
看这神仙姐姐说的好的。[good],0
卡梅伦估计是英国最倒霉的首相了，上台不久就各种倒霉事接踵而至，经济危机不减、骚乱动荡、大罢工、使馆受冲击...是天将降大任呢，还是触犯了天条？[衰],0
操，你他妈干的是人事嘛[怒],0
可怕啊，一天十几个小时，站起来吧！,0
[泪],0
公主啊，久等了...[泪],0
生活在hell一样的城市，呼吸着shit一般的空气。[抓狂],0
悲惨的我的小胃，喝咖啡?也会觉得不舒服了，来星巴克也只能点星冰乐[晕],0
[飞机][钟][礼物][挖鼻屎][思考][衰][汽车][微风][太阳][钟][疑问][衰][汽车][飞机],0
[吃惊][吃惊],0
真後悔那?候?下手……[衰],0
回复:不太清楚[泪],0
天，流浪着还去西藏玩了一趟。拼了！,0
安徽今年高考理科状元丁雅琦，文科状元倪慧[赞]一个在淮北市，一个在芜湖市，都是女孩[威武]或许要上同一所大学――清华大学（因为清华大学老师已经先下手为强[晕]）,0
Benefit的东东都是好玩又容易上手，象变魔术一样。就是中国的售价实在太棘手了[怒],0
那就＜＜小拜年＞＞吧[哈哈][哈哈][哈哈],1
狠是不爽，气人也不带这么气人的！[怒],0
突然发现我把黄晓明和陈坤搞混了，这照片第一眼感觉是黄晓明，认真看发现时陈坤，看来帅哥都是一个模子刻出来滴！伤不起啊！[抓狂],0
这是贾珍贾赦，还是刘姥姥焦大？,0
有点准???,0
艾伦啊，这地位[抓狂][抓狂][抓狂][抓狂],0
早上参加婚礼时，被人在微信上打招呼问到：＂是飞行员？＂飞行员你妹啊，昵称也当真，再说了明明写的也是机长好不好[怒],0
给大家爆料一下，在小编的办公室现在登录是周围朋友每天上班迫不及待的一件事，毕竟猜猜价格还是蛮有意思的，几个朋友在一起把自己的价格写下来，打赌看看谁的价格最远，然后由价格最远的那位同学请吃午饭[哈哈]小编偷笑中！可惜我是相关人员不能中奖，被排斥了[抓狂]http://t.cn/a3CsZi,0
才星期四已经觉得精疲力尽了[衰]明天怎么办,0
回覆:俺多贴几次，弟兄们多转几次，万能的淘宝上就会神奇地出现这个东西乐。,0
芝麻…你这样读，，知道吗？[抓狂]#摄影师与萌狗的故事#拯救弃猫,0
[怒]话说这“疯狂毛毛虫”也不知道是谁想出来的高招，累死姐了。。。,0
看来这件眼中的睡衣再也不能穿了?[泪][泪][泪]明明是这样，视频变那样[泪][泪][泪][泪]泪奔！,0
回复:[泪][泪][泪],0
回复:没事儿，你有体制保护着呢！,0
真郁闷，可以当教学题材！,0
我左卧右卧仰卧均有不同程度的难受[泪]现在知道我为啥提前休假了吧？睡不着觉啊[悲伤]我真想把你从呼噜声中叫醒，拉你起来聊天啊[困],0
天增岁月人增肉，长使云爷泪满襟~[泪],0
[思考],0
以前每周五必练剑，由于腿伤，今天是去不了了。加上这月及下月初关键的考试，一个月都去不了。老哥们，小哥们，聚会无期啊[悲伤],0
"又一起校园暴力,有多孩子可以这样夭折呀?痛心",0
俺的苹果吃完鸟~~~[晕]我在:http://t.cn/zTy6VYJ,0
来了，来吧[衰],0
金宝汇会员活动，没中奖，不开心[泪][泪][泪],0
绝对是你的菜啊！我已经被彻底迷倒！那低沉的迷死人不长命的男中音啊！我在想要是贺老师做律师上法庭，那风采得啥样子啊！[帅][帅][帅],0
初中的同学，可能会是一辈子的朋友。因为他们和你度过了人生中最不理智的三年，最肆无忌惮的三年，最自由自在的三年。在这三年里，做了多少疯狂的事，多少无反顾地决定，让你永远无法忘记。所以，请珍惜每个一起度过初中的朋友。友谊是一条船，需用信任去掌舵。好怀念，那些无忧无虑的日子[泪][泪][泪],0
2012的第一声惊雷----曾哥，我谢你一家门。不要新年伊始就出来吓人，我真的被雷得不轻[晕]遥控器差点掉水杯里。。。。,0
山里，室内0度。全副武装，在家里戴着手套。取暖基本靠抖。别提洗澡了，上厕所都需要勇气[泪][泪],0
慢性自杀。,0
这个点儿还在纠结是看呢是看呢还是看重播呢---很浓重的伦敦音，奥运[偷笑][抓狂][嘻嘻][哈哈][爱你][酷][睡觉][睡觉][睡觉][睡觉][睡觉][睡觉],1
真的要放在大米里吗？求高人指路[偷笑],0
想到接下来些时候可能会穿到的比基尼……这些我都吃不下了……怎么办啊？[泪],0
财！你?哪?！娘困?了[泪]安~,0
没准是午休时间呢。,0
这无与伦比的想象力。。。,0
奇男子一枚，用生命印证“强撸灰飞烟灭”。,0
明天出差，本以为晚上吃个大餐，回来收拾个行李，就可以倒头大睡。可是。。。。。。但可是。。。。。。老板传来六字真言，我只能默默的，喝了碗绿豆汤，老老实实的坐在电脑前面[泪],0
亲，说笑了[抓狂],0
#泰国之旅#一早从清迈开车四个多小时到达清莱，去了在清莱建立的一座少数民族村落。除了有脖子上佩戴5-10公斤颈环的长颈族外，还有戴着大耳环的拉呼族与据说一辈子只洗三次澡的阿卡族，不同的民族风情啊。我也试了下颈环，好难受而且很重的[汗][晕],0
[晕],0
好歌其实有，可惜能推广的平台有限[悲伤],0
！！！吴莫愁的中文歌＂痒＂！！把我家在酣睡的喵喵吓醒开始跟着叫！！！把女猫唱发情了！！我靠！！这是超越人类了吗[泪][泪][泪][泪][泪][泪],0
成都机场的行李出的太慢了吧！都等了半个小时了！[怒][怒][怒][怒],0
[怒][怒][怒]道德的沦丧，岂止是某一阶层、某一群体、某一个体。。。那是全社会的道德沦丧。。。,0
老公真是保守，苦口婆心劝他办张信用卡，从我认识他就开始劝了，到现在也没能劝动。还跟我说：办了不还得还嘛！[晕]真是无奈死了。怎么那么老土。[怒][哼],0
很不给力的天气[衰]但依旧上路~山里见[干杯],0
我！不太高兴！！！[悲伤],0
国家机器该说句硬气的话了吧！！还在叫春……[怒],0
周末驾到，17-19点，我们请到了#为爱向前冲#的老朋友，畅销书作家分享她的旅行乐活书《每一滴水上安住，每一段路上幸福》，还有资深泰国旅行玩家一同畅聊，节目中依然会派发价值百元的旅游年票。以及郑老师的旅行乐活书，大家一起聊聊旅行中的悲催经历[怒],0
Damnshittrafficjam....[衰]我在这里:http://t.cn/zl1yaOB,0
安排休息的屋子一股怪味，说送饭到屋子，等饿的不行了，问服务员才说忘记送了，于是拿到了不值五元的白菜套餐。电话没信号，发现居然电话线都没接。[怒],0
「用天真?一根?的光?我??我自己...」??首歌[泪]?了！！！,0
昨天刚为常春藤修剪掉枯萎的叶子。然后，不小心就把陶瓷花盆打碎了。今天早晨刚得意地告诉同事，铜钱草又给我养活了！仰天大笑。然后，刚换水，铜钱草的玻璃鱼缸也失手摔碎了。[泪]最近怎么了。做梦三个场景“不小心踏入泥泞奋力挣脱”“走过黑乎乎的隧道参观墓地，选择角度拍照”“下大雨在路上奔跑”,0
这词和图不编入年鉴可惜了！[泪],0
你辛苦了，来我家的路漫漫啊！[衰],0
…,0
好点了没？早日归队啊,0
早上在超市里听到‘有多少爱可以重来’，听到‘这些年过的不好不坏’的时候，莫名戳中泪点！[泪],0
[怒],0
台北木有啊[泪],0
?成猜男猪脚是谁[晕],0
我能说脏话吗？MLGBD,0
#Loli厨房出品#小笼型烧麦芯的烧麦[黑线][哈哈]昨晚上做的，早上蒸熟配绿豆汤。做这个真是坎坷。先是练琴误了时间，糯米有点烧焦了[汗]然后是包的发现买来的饺子皮太小啦，没法包，只能包成小笼啦[晕]还好妈妈厉害，想出包小笼形状的，否则我就晕菜啦[嘻嘻]味道倒是可以和外面的一较高下[偷笑],1
之前看的时候没有这样的感觉，以为就是一部简简单单的动画片而已。原来寓意那么深刻。要再看一遍[呵呵][泪],0
每一次都在盼望奇迹、希望他们活生生的出现、婴儿的啼哭都是最美的歌曲！感叹世事无常、今年我们失去了多少不明不白的同胞！生命中你们来过就不曾离开、感叹珍惜这一切！好好对待父母家人！为逝者祈祷！我内心还是不相信、不相信啊！[泪][泪][泪][泪],0
昙花痛，你掠过我眼中，昙花疯，我睡在你胸口。。。。。。?老二相信[衰],0
[生病][泪][悲伤][抓狂]不舒服不舒服不舒服55555555555,0
特别喜欢李健。他的歌有涤荡心灵的能力，古典音乐的演绎，美的难以名状。再次被李健音乐中的情怀打动，嗯，短短一个小时，忍不住落泪两次。[泪]我在这里:http://t.cn/zQpC96c,0
我要赵小姐！！[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][钱][抓狂][钱][抓狂][抓狂]],0
咳嗽加重，眼冒金星。不过嗅觉基本恢复。这病的症状跟写的一样准，7天的鼻塞，打喷嚏，流眼泪，第8天开始咳嗽，嗓子疼。看来我患的确实是春季典型流感[衰],0
[汗],0
[泪][泪],0
"老奶奶不慎摔跤,还好不严重.下午去看她,她从床上爬起来,为的是告诉她没事.撩起衣服,看到肿了一大块,把我给心疼的......[伤心]",0
面馆吃饭。台北精致面馆[衰]我在:http://t.cn/zjeOtww,0
不要着急，大家都i有份哈。,0
曾经的领导们，就能证明这样的神迹，梦想常常能实现。[爱你],0
[怒骂]怒从心中来！！！！,0
回复:不奇怪，鼓楼姚记炒肝的店小二还跟美国副总统有“一面之缘”呢……2010年上大学的小屁孩，别的没学会，先学会装逼了。好好刷干净你的盘子吧！,0
[哈哈][哈哈][哈哈],1
[晕]大金毛太可怜了[泪][泪],0
卧槽！！！,0
公交卡消磁了[泪]有木有不补办或者注销的方法[泪],0
回复:还是换了主板！回家发现手机mac换了。。。,0
【武汉4名女子地铁抢座互殴母女打倒两名女孩】5月26日讯，武汉4名女乘客在地铁上因为“座位之争”而大打出手，从中南路站开始，这4个人两两为阵互殴，期间宝通寺站有一名工作人员上车劝架，但互殴过程还是经历了3个站点直到广埠屯站，这4名女子才被工作人员请下车。[衰],0
面粉进去，面条出来！,0
还有人大代表!他们代表了谁??请问中央[怒][怒][怒][怒]请保护我们的女儿!,0
好好次的天津五香大花卷[泪][泪][泪],0
睇左脚仔软[晕]高~~~畏惧~~~,0
[晕]这么严重咩？,0
我娘说...她晕榴莲[晕],0
睡前阅读，是读这个？还是这个？哎，有些考试就要来了，你说我该读哪个？[晕][抓狂],0
我妈怎么没这么说过……,0
高三最后一节课，老师说：“你们再看看书，我再看看你们。”[泪]（供图）,0
午夜两点，居然失眠，完全不是我的风格[睡觉]以后晚间就真不能再喝咖啡了。[衰]明天的直播啊，神呐，催眠我吧！,0
抱歉，您在2013-06-0914:38:39发表的微博“谢谢大家了//:[怒]...”已被管理员加密。此微博不适宜对外公开。如需帮助，请联系客服（链接：http://t.cn/z0D6ZaQ）这就是微博,0
[衰]早看早打算。。。,0
[呵呵]淡定淡定哈哈,1
这几年的一个规律每年都会碰到一个做多的股票在持有过程中某一天出现盘中瞬间暴跌40-50%以上的情况而且还愈演愈烈年龄大了心脏真要承受不了了[泪][泪],0
第一次下水出师不利，灌了N口水，现在耳朵还是堵的[泪],0
啊，介是真的嘛。,0
早上8点就起来了，结果肚子痛，开着空调都还中暑了，后来躺床上不知道是睡过去了还是昏过去了，现在才醒过来。周末就这样毁了么？[泪],0
